,regular_exercise,acute_4_before,acute_8_before,acute_4_to_8,previous_sleep,target
0,0,0,0,0,8.0,7.0
0,21,3,7,3,7.0,6.4496087568750005
0,8,4,7,2,6.4496087568750005,9.42701579866171
0,4,1,6,3,9.42701579866171,6.160935901589366
0,2,0,9,2,6.160935901589366,5.943689736672544
0,23,3,14,4,5.943689736672544,6.8822613945402775
0,9,0,0,3,6.8822613945402775,6.8515124384912935
0,18,1,7,0,6.8515124384912935,7.382647588139571
0,3,0,10,4,7.382647588139571,5.9978198487349905
0,12,1,6,1,5.9978198487349905,6.853669911014815
0,8,1,1,0,6.853669911014815,7.3030217397395925
0,23,4,12,1,7.3030217397395925,12.870236430550523
0,20,1,7,3,12.870236430550523,6.906695683491155
0,15,2,12,0,6.906695683491155,8.248519417852545
0,7,0,15,1,8.248519417852545,6.369773219184955
0,11,4,11,0,6.369773219184955,18.617351990557975
0,17,0,13,2,18.617351990557975,6.8667169529088925
0,20,3,3,1,6.8667169529088925,10.235552891428805
0,4,0,10,2,10.235552891428805,6.157053302585486
0,6,1,13,1,6.157053302585486,6.449526942310407
0,17,1,10,1,6.449526942310407,6.999627921655064
0,10,3,15,0,6.999627921655064,10.61737691885435
0,5,3,11,4,10.61737691885435,6.322262927214417
0,7,4,8,0,6.322262927214417,19.227901300871554
0,14,1,16,2,19.227901300871554,6.841276561399689
0,0,1,13,1,6.841276561399689,6.0701007549503245
0,13,4,9,2,6.0701007549503245,9.399364440587023
0,14,2,10,2,9.399364440587023,7.016254634049673
0,5,1,4,3,7.016254634049673,6.192247207347469
0,2,3,4,2,6.192247207347469,7.337844555292831
0,0,4,14,1,7.337844555292831,11.618178558026559
0,1,4,12,0,11.618178558026559,17.881676879110724
0,1,3,6,3,17.881676879110724,6.456529057524328
0,23,2,0,2,6.456529057524328,10.45802439809781
0,8,4,7,2,10.45802439809781,9.503174050487683
0,9,2,4,0,9.503174050487683,8.449963957500401
0,15,4,8,4,8.449963957500401,7.110687642728923
0,3,0,4,1,7.110687642728923,6.140798677153935
0,19,4,4,2,6.140798677153935,10.647363361460894
0,11,2,9,4,10.647363361460894,6.582272382048332
0,7,0,0,4,6.582272382048332,6.7270265240406015
0,10,4,2,1,6.7270265240406015,17.35146375908907
0,17,1,9,2,17.35146375908907,6.956822593810141
0,16,4,3,3,6.956822593810141,8.49401462930241
0,17,1,0,2,8.49401462930241,8.085767385176858
0,14,1,0,2,8.085767385176858,7.977811567963494
0,0,1,12,4,7.977811567963494,5.818692482737648
0,17,3,15,3,5.818692482737648,7.00958372788083
0,19,4,16,0,7.00958372788083,18.0373808595516
0,11,4,11,1,18.0373808595516,12.819195090681152
0,9,0,13,3,12.819195090681152,6.459899768530903
0,17,3,12,1,6.459899768530903,8.919429339958834
0,10,4,5,1,8.919429339958834,14.394670459789268
0,20,1,10,4,14.394670459789268,6.877543635485055
0,21,2,1,3,6.877543635485055,7.229469991078457
0,8,3,12,0,7.229469991078457,10.702834153830802
0,3,0,7,0,10.702834153830802,6.291142425931083
0,4,3,6,4,6.291142425931083,6.214135012626438
0,8,3,4,0,6.214135012626438,11.840828309998331
0,12,0,2,0,11.840828309998331,6.909061054614153
0,12,2,12,2,6.909061054614153,6.859001987429705
0,17,1,15,3,6.859001987429705,6.738571878277085
0,9,1,7,0,6.738571878277085,7.014146724997571
0,2,0,10,4,7.014146724997571,5.9218164662773995
0,14,0,8,4,5.9218164662773995,6.572701658359452
0,1,3,16,3,6.572701658359452,6.175916272297378
0,18,4,7,3,6.175916272297378,7.945121559102137
0,23,1,16,1,7.945121559102137,7.0790890846499686
0,9,4,1,4,7.0790890846499686,7.726672773863975
0,18,2,9,0,7.726672773863975,8.45399345696351
0,8,2,6,1,8.45399345696351,7.341922489579775
0,3,2,12,2,7.341922489579775,6.342023888813645
0,23,3,4,1,6.342023888813645,9.91096902677846
0,6,1,13,1,9.91096902677846,6.526801071306092
0,23,1,6,3,6.526801071306092,6.8316084028766175
0,0,4,0,3,6.8316084028766175,33.07261570035645
0,6,2,5,1,33.07261570035645,7.416851159434126
0,19,0,15,2,7.416851159434126,6.79500257481334
0,18,1,10,0,6.79500257481334,7.332946040537381
0,22,2,0,0,7.332946040537381,10.47790221207472
0,2,4,14,2,10.47790221207472,8.456497182616566
0,15,2,7,4,8.456497182616566,6.7271066364983465
0,6,3,12,0,6.7271066364983465,10.569177432569713
0,17,3,4,0,10.569177432569713,12.322818987080039
0,5,2,12,0,12.322818987080039,7.813892476187325
0,16,3,9,4,7.813892476187325,6.841358584597192
0,17,4,10,3,6.841358584597192,7.779416186758219
0,23,3,16,0,7.779416186758219,10.951220310778094
0,20,3,10,1,10.951220310778094,9.182626446232353
0,23,3,4,4,9.182626446232353,7.044640797749165
0,2,1,16,1,7.044640797749165,6.195233938551909
0,22,0,16,0,6.195233938551909,6.960526173172192
0,7,2,6,4,6.960526173172192,6.305127393001632
0,4,4,16,1,6.305127393001632,11.656802703377137
0,20,1,0,0,11.656802703377137,8.191777839758332
0,6,1,7,2,8.191777839758332,6.358701448648576
0,14,2,16,4,6.358701448648576,6.624855981414723
0,21,1,14,0,6.624855981414723,7.336166929363858
0,13,1,12,3,7.336166929363858,6.612282165584717
0,15,4,9,0,6.612282165584717,19.31180831602332
0,23,2,16,4,19.31180831602332,6.953313016111999
0,7,3,11,3,6.953313016111999,6.623608951045093
0,0,1,2,4,6.623608951045093,5.811934384679784
0,11,1,10,4,5.811934384679784,6.446985018719214
0,19,0,14,2,6.446985018719214,6.771580444532807
0,8,0,14,0,6.771580444532807,6.503977021769373
0,20,3,1,3,6.503977021769373,8.005377375982773
0,10,1,12,1,8.005377375982773,6.734160715234901
0,14,1,0,0,6.734160715234901,7.9471248674104595
0,7,3,5,0,7.9471248674104595,11.556156727068567
0,9,4,15,0,11.556156727068567,17.869090366677828
0,11,3,8,4,17.869090366677828,6.746577890132835
0,15,4,7,4,6.746577890132835,7.098332076150803
0,17,2,5,2,7.098332076150803,7.182255723667446
0,8,0,8,4,7.182255723667446,6.309971661272545
0,20,3,12,2,6.309971661272545,7.697029329613057
0,19,1,11,3,7.697029329613057,6.809033148208515
0,12,2,11,3,6.809033148208515,6.64613801216787
0,0,4,11,1,6.64613801216787,12.00513824224785
0,10,1,6,2,12.00513824224785,6.654250298794111
0,10,1,12,3,6.654250298794111,6.450779177735333
0,16,1,4,0,6.450779177735333,7.404324567367087
0,23,3,10,3,7.404324567367087,7.187737187462071
0,2,4,5,3,7.187737187462071,7.355715421332446
0,13,0,6,0,7.355715421332446,6.8153651781003095
0,2,3,7,2,6.8153651781003095,7.065950550604691
0,15,1,13,3,7.065950550604691,6.683230866321494
0,13,1,0,1,6.683230866321494,7.904523191368596
0,15,0,5,2,7.904523191368596,6.7181107939523566
0,10,2,9,3,6.7181107939523566,6.554825763403788
0,14,3,9,0,6.554825763403788,11.251432337283882
0,21,4,1,4,11.251432337283882,8.210037733466855
0,4,2,11,0,8.210037733466855,7.721449547774078
0,4,3,0,2,7.721449547774078,16.10683459657655
