,regular_exercise,acute_4_before,acute_8_before,acute_4_to_8,previous_sleep,target
0,0,0,0,0,8.0,7.0
0,5,3,2,3,7.0,6.169474278575222
0,13,4,11,1,6.169474278575222,12.767352887707885
0,4,2,4,3,12.767352887707885,6.34962142584744
0,10,0,12,4,6.34962142584744,6.3985963227978395
0,3,4,3,1,6.3985963227978395,15.430463755436579
0,0,4,1,4,15.430463755436579,7.255537228142342
0,10,0,6,3,7.255537228142342,6.439341072505992
0,12,2,8,3,6.439341072505992,6.654021156328534
0,1,1,3,3,6.654021156328534,5.928217577866558
0,21,3,11,2,5.928217577866558,7.724887925159498
0,12,1,12,0,7.724887925159498,7.120646190853998
0,3,4,3,1,7.120646190853998,15.449316078450314
0,4,2,11,1,15.449316078450314,6.999191555254387
0,12,3,10,3,6.999191555254387,6.908999083402656
0,9,4,13,2,6.908999083402656,8.89162020147343
0,21,1,16,0,8.89162020147343,7.369475635932243
0,10,4,14,0,7.369475635932243,18.0143934536573
0,0,0,0,4,18.0143934536573,6.400071915512656
0,14,1,9,3,6.400071915512656,6.635215707636792
0,13,0,14,3,6.635215707636792,6.561834368017227
0,0,0,15,4,6.561834368017227,5.772925029193674
0,7,3,10,2,5.772925029193674,7.2213918703028614
0,18,2,1,2,7.2213918703028614,7.762914478950852
0,1,4,11,1,7.762914478950852,12.099840945681704
0,6,1,4,1,12.099840945681704,6.682958966333214
0,23,3,5,4,6.682958966333214,6.970867724263399
0,22,4,12,2,6.970867724263399,9.380524084883017
0,1,0,4,0,9.380524084883017,6.169555030233797
0,8,4,11,4,6.169555030233797,6.671355941518119
0,3,1,0,1,6.671355941518119,7.331952491338283
0,6,4,9,3,7.331952491338283,7.315683020154213
0,5,1,7,4,7.315683020154213,6.143715943905052
0,7,0,11,4,6.143715943905052,6.221740581766445
0,20,1,0,2,6.221740581766445,8.094967509157154
0,20,2,3,0,8.094967509157154,8.96301335161694
0,1,0,6,3,8.96301335161694,5.910150810074456
0,1,2,15,3,5.910150810074456,5.9434871976094605
0,21,4,2,1,5.9434871976094605,17.688456303413172
0,4,1,2,0,17.688456303413172,7.045472213220891
0,11,2,10,2,7.045472213220891,6.83618116636984
0,12,4,10,3,6.83618116636984,7.592908305666794
0,0,2,4,3,7.592908305666794,6.006771194813394
0,20,2,14,3,6.006771194813394,6.860324234964795
0,10,4,3,4,6.860324234964795,7.10813998394249
0,15,2,2,0,7.10813998394249,9.019469565393027
0,10,4,3,2,9.019469565393027,10.90898297869185
0,9,0,6,2,10.90898297869185,6.482805327976352
0,14,3,10,4,6.482805327976352,6.732308067049496
0,23,2,7,0,6.732308067049496,8.582256564132415
0,20,3,10,3,8.582256564132415,7.190493785682555
0,9,1,3,4,7.190493785682555,6.394053385560638
0,8,4,11,2,6.394053385560638,8.962811253161158
0,23,0,4,0,8.962811253161158,7.094616490931379
0,11,4,10,1,7.094616490931379,12.872264286419842
0,18,1,15,3,12.872264286419842,6.854902049338694
0,2,2,16,2,6.854902049338694,6.232480053112166
0,4,2,1,2,6.232480053112166,7.064397168562082
0,22,2,13,4,7.064397168562082,6.827604913001466
0,6,4,9,4,6.827604913001466,6.59933265817806
0,17,2,2,4,6.59933265817806,6.8038476670249
0,18,3,11,2,6.8038476670249,7.701553012832243
0,20,2,2,3,7.701553012832243,7.079961746088806
0,0,0,4,3,7.079961746088806,5.808866830532881
0,21,1,5,3,5.808866830532881,6.8061223185375095
0,20,1,12,4,6.8061223185375095,6.771106606432605
0,19,0,12,2,6.771106606432605,6.782622765221594
0,19,2,8,1,6.782622765221594,7.661992410729023
0,16,3,3,1,7.661992410729023,10.162920009020985
0,20,3,0,2,10.162920009020985,16.857418351031274
0,10,0,0,3,16.857418351031274,7.02502888773782
0,1,2,12,2,7.02502888773782,6.199293045834855
0,16,2,6,4,6.199293045834855,6.712225283344959
0,2,4,12,2,6.712225283344959,8.512403363251192
0,1,4,16,1,8.512403363251192,11.505811983879646
0,19,2,8,3,11.505811983879646,6.975003410705435
0,15,4,10,2,6.975003410705435,9.400502301449299
0,12,1,16,3,9.400502301449299,6.6015507129728395
0,3,1,10,1,6.6015507129728395,6.290056061661879
0,11,2,11,4,6.290056061661879,6.494971973413023
0,17,3,4,1,6.494971973413023,9.832496916876462
0,16,1,6,2,9.832496916876462,6.884826272132555
0,8,0,13,2,6.884826272132555,6.340992387322169
0,10,0,1,0,6.340992387322169,6.7626211149499325
0,17,4,5,2,6.7626211149499325,10.271663278975687
0,20,3,5,4,10.271663278975687,7.017310945691566
0,19,1,7,3,7.017310945691566,6.8032301239135435
0,15,0,10,2,6.8032301239135435,6.677944682073164
0,20,1,1,3,6.677944682073164,6.919337165561536
0,16,3,16,0,6.919337165561536,10.819384805860725
0,18,2,5,1,10.819384805860725,7.86172181117747
0,10,4,10,3,7.86172181117747,7.516698066510138
0,19,4,13,3,7.516698066510138,7.745329776078432
0,4,1,8,3,7.745329776078432,6.123493703958079
0,1,0,14,2,6.123493703958079,5.867476952378692
0,7,4,12,1,5.867476952378692,12.291074275749525
0,15,3,2,3,12.291074275749525,7.549066579152029
0,8,4,6,1,7.549066579152029,13.80007819363862
0,17,3,4,2,13.80007819363862,8.236440813538373
0,2,2,9,0,8.236440813538373,7.658138933006025
0,3,3,7,4,7.658138933006025,6.170226866083003
0,21,2,14,3,6.170226866083003,6.876923428220624
0,11,1,5,1,6.876923428220624,6.85289485994986
0,3,4,12,2,6.85289485994986,8.58334039914911
0,9,1,16,3,8.58334039914911,6.433849685762919
0,22,1,12,1,6.433849685762919,7.063494419664528
0,8,0,4,1,7.063494419664528,6.455783570513252
0,15,0,7,0,6.455783570513252,6.8630264944163955
0,19,1,11,2,6.8630264944163955,6.870764321708638
0,14,4,5,4,6.870764321708638,7.138439219722687
0,0,0,9,0,7.138439219722687,6.013562659842975
0,15,2,15,3,6.013562659842975,6.732926984643655
0,7,3,12,3,6.732926984643655,6.6063483743136455
0,6,2,5,0,6.6063483743136455,8.11472884666439
0,23,1,5,3,8.11472884666439,6.873824029707922
0,2,4,16,2,6.873824029707922,8.291368583447337
0,4,2,11,4,8.291368583447337,6.1291308808722516
0,20,3,16,4,6.1291308808722516,6.86124325640096
0,6,0,16,4,6.86124325640096,6.179081227803534
0,0,3,6,1,6.179081227803534,8.51086825709336
0,19,3,7,1,8.51086825709336,9.39733788833458
0,19,3,13,4,9.39733788833458,6.924927344816761
0,20,2,8,3,6.924927344816761,6.915163146188952
0,9,4,9,1,6.915163146188952,12.963029081069196
0,19,0,6,4,12.963029081069196,6.838492976288032
0,17,3,2,1,6.838492976288032,10.71904232894939
0,6,4,0,2,10.71904232894939,33.54023156329361
0,12,4,14,0,33.54023156329361,18.271326337548807
0,5,3,5,3,18.271326337548807,6.764945538568087
0,6,1,14,2,6.764945538568087,6.293721902772031
0,8,1,3,2,6.293721902772031,6.500457745323265
0,11,0,11,1,6.500457745323265,6.561496360942813
0,11,4,12,2,6.561496360942813,9.054748308671984
0,23,3,2,0,9.054748308671984,13.301189433957413
0,10,1,0,2,13.301189433957413,7.859520065710917
0,20,4,2,3,7.859520065710917,9.044897973224662
0,8,2,0,0,9.044897973224662,10.03303291621285
0,1,4,16,3,10.03303291621285,6.828892740367034
0,18,2,5,3,6.828892740367034,6.91023990960021
0,20,3,2,2,6.91023990960021,8.73980973286991
0,11,3,5,3,8.73980973286991,7.0250575577113485
0,7,3,3,4,7.0250575577113485,6.4969971649566896
0,21,3,0,3,6.4969971649566896,16.798077137145906
0,2,4,10,1,16.798077137145906,12.439394249109688
0,1,4,7,3,12.439394249109688,7.177213985183261
0,11,1,13,3,7.177213985183261,6.514039201379935
0,7,2,2,3,6.514039201379935,6.532189127149707
0,18,2,11,2,6.532189127149707,7.070754864483919
0,18,4,2,3,7.070754864483919,8.99043562196696
0,7,2,11,0,8.99043562196696,7.925627068015199
0,22,0,12,4,7.925627068015199,6.803210361494358
0,12,3,12,2,6.803210361494358,7.462266068559472
0,16,4,11,4,7.462266068559472,7.073102725416222
0,4,1,1,0,7.073102725416222,7.058697827722018
0,5,1,0,0,7.058697827722018,7.473238242010861
0,9,0,15,4,7.473238242010861,6.372079103327419
0,15,4,0,2,6.372079103327419,33.91460513503851
0,21,4,2,4,33.91460513503851,7.815866532873899
0,15,4,15,2,7.815866532873899,9.078675061383374
0,12,2,15,2,9.078675061383374,6.878904032151206
0,3,0,8,1,6.878904032151206,6.103631393484162
0,4,4,2,1,6.103631393484162,16.97254278423058
0,2,3,10,3,16.97254278423058,6.431156458255568
0,7,3,5,3,6.431156458255568,6.7515771085902685
0,3,0,13,3,6.7515771085902685,5.993105317946078
0,15,3,7,0,5.993105317946078,11.527803404091474
0,5,2,12,3,11.527803404091474,6.325101702192297
0,11,1,1,0,6.325101702192297,7.451648654130342
0,15,2,2,4,7.451648654130342,6.76202866185165
0,8,4,6,3,6.76202866185165,7.620244768905355
0,15,1,14,0,7.620244768905355,7.223893399591703
0,5,1,9,2,7.223893399591703,6.261014081426805
0,1,0,5,4,6.261014081426805,5.836158740372913
0,18,4,1,2,5.836158740372913,14.353479195572625
0,1,1,13,3,14.353479195572625,5.995361400006574
0,13,2,6,4,5.995361400006574,6.59382978392262
0,4,2,6,3,6.59382978392262,6.216921215314612
0,21,2,3,1,6.216921215314612,8.02825355673401
0,16,4,10,0,8.02825355673401,19.103057651668998
0,4,1,12,0,19.103057651668998,6.77049189873475
0,14,0,1,0,6.77049189873475,6.960245304730412
0,0,2,9,0,6.960245304730412,7.494144518833504
